bss_code,model,rmse_train,rmse_test,rmsse_train,rmsse_test,learningtime,use_exo_rain,use_exo_evo,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,h49,h50,h51,h52,h53,h54,h55,h56,h57,h58,h59,h60,h61,h62,h63,h64,h65,h66,h67,h68,h69,h70,h71,h72,h73,h74,h75,h76,h77,h78,h79,h80,h81,h82,h83,h84,h85,h86,h87,h88,h89,h90,h91,h92,h93
00061X0117/PZ1,Conv,0.057639885327108786,0.07732607213203442,0.9198078010876582,1.233956729283449,-59.63490390777588,False,False,14.427382469177246,14.493301391601562,14.638628005981445,14.887079238891602,14.807578086853027,14.799154281616211,14.826468467712402,14.894347190856934,14.968411445617676,15.097689628601074,15.058013916015625,15.174003601074219,15.196788787841797,15.26605224609375,15.3726806640625,15.427837371826172,15.460918426513672,15.484803199768066,15.585563659667969,15.745409965515137,15.647810935974121,15.78477668762207,15.953063011169434,15.90298843383789,15.917959213256836,16.06244468688965,16.11358642578125,16.296003341674805,16.26963233947754,16.275480270385742,16.39156150817871,16.353927612304688,16.479944229125977,16.60950469970703,16.468915939331055,16.66012191772461,16.687196731567383,16.611955642700195,16.750579833984375,16.912071228027344,16.978370666503906,16.816532135009766,17.16927146911621,17.07775115966797,16.955827713012695,17.104799270629883,17.044639587402344,17.278011322021484,17.276195526123047,17.198381423950195,17.23372459411621,17.46229362487793,17.406150817871094,17.41506576538086,17.46803092956543,17.492572784423828,17.47440528869629,17.670948028564453,17.49332618713379,17.579586029052734,17.78118324279785,17.65250587463379,17.693967819213867,17.733020782470703,17.951505661010742,17.98459815979004,17.942764282226562,17.908803939819336,18.025991439819336,18.090036392211914,18.03450584411621,17.960344314575195,18.120182037353516,18.25950050354004,18.193138122558594,18.18537139892578,18.333160400390625,18.12788963317871,18.3510684967041,18.382251739501953,18.237180709838867,18.37176513671875,18.260404586791992,18.40934181213379,18.408281326293945,18.505577087402344,18.510271072387695,18.49055290222168,18.736753463745117,18.481502532958984,18.599576950073242,18.66747283935547,18.668127059936523
00061X0117/PZ1,Conv,0.06967545380632763,0.20288145613783415,1.1118694215243605,3.237548877701139,-35.61595010757446,False,True,13.542427062988281,13.690237045288086,13.660200119018555,13.804677963256836,13.776616096496582,13.819305419921875,13.707701683044434,13.82335376739502,13.74276065826416,13.794025421142578,14.016489028930664,14.126435279846191,14.049398422241211,14.098346710205078,14.24381160736084,14.373181343078613,14.323463439941406,14.312454223632812,14.60818862915039,14.701459884643555,14.651834487915039,14.679296493530273,14.732035636901855,14.783466339111328,14.920660018920898,14.966772079467773,15.077378273010254,15.190535545349121,15.176229476928711,15.299904823303223,15.425905227661133,15.68546199798584,15.258440971374512,15.85909652709961,15.748294830322266,15.518990516662598,15.709447860717773,16.008203506469727,16.007366180419922,15.91423225402832,16.151897430419922,16.170618057250977,16.22479248046875,16.42494010925293,16.364643096923828,16.60269546508789,16.51116371154785,16.594758987426758,16.601789474487305,16.552383422851562,16.851781845092773,16.84529685974121,16.835798263549805,16.882564544677734,16.846940994262695,16.90679168701172,17.00140380859375,17.0443172454834,16.94554901123047,16.982751846313477,17.2849178314209,17.29999351501465,17.50499153137207,17.291603088378906,17.468116760253906,17.703168869018555,17.48012351989746,17.594329833984375,17.744356155395508,17.658275604248047,17.61858367919922,17.714468002319336,17.78373146057129,18.03887176513672,17.785606384277344,17.81623077392578,18.012413024902344,18.103551864624023,18.06401824951172,18.18318748474121,18.227188110351562,18.009450912475586,18.218597412109375,18.04245376586914,18.147138595581055,18.218812942504883,18.17444610595703,18.494529724121094,18.42885398864746,18.643569946289062,18.48134994506836,18.5400390625,18.725505828857422
00061X0117/PZ1,Conv,0.056764842577282065,0.08809310847949046,0.9058440129397788,1.4057753227934997,-63.1251540184021,True,False,14.236274719238281,14.120997428894043,14.220479965209961,14.160015106201172,14.229596138000488,14.44321060180664,14.308378219604492,14.398580551147461,14.435874938964844,14.568077087402344,14.471059799194336,14.571434020996094,14.72462272644043,14.7955904006958,14.864700317382812,14.691854476928711,14.93457317352295,14.948938369750977,15.028375625610352,15.135980606079102,15.150337219238281,15.286738395690918,15.214115142822266,15.33283519744873,15.5381441116333,15.417853355407715,15.509132385253906,15.817054748535156,15.711396217346191,15.840561866760254,15.662251472473145,15.7890625,15.857233047485352,16.142675399780273,16.029998779296875,16.311655044555664,16.168127059936523,16.14036750793457,16.4243221282959,16.415367126464844,16.503219604492188,16.630069732666016,16.452667236328125,16.53213119506836,16.72368049621582,16.757869720458984,16.908042907714844,16.949359893798828,16.924253463745117,17.038238525390625,17.11909294128418,16.99533462524414,17.11720848083496,17.255151748657227,17.211345672607422,17.13895606994629,17.141464233398438,17.440292358398438,17.21180534362793,17.2979679107666,17.409400939941406,17.50486946105957,17.46527862548828,17.557876586914062,17.790557861328125,17.628360748291016,17.76496124267578,17.754920959472656,17.858394622802734,17.94460105895996,18.049097061157227,17.934736251831055,17.981197357177734,17.885435104370117,18.00201416015625,18.080768585205078,18.111949920654297,18.167362213134766,18.288997650146484,18.228010177612305,18.238309860229492,18.266666412353516,18.336620330810547,18.4222412109375,18.31768798828125,18.40460968017578,18.340803146362305,18.400053024291992,18.499998092651367,18.62561798095703,18.49993133544922,18.68039321899414,18.615304946899414
00061X0117/PZ1,Conv,0.055165494533811976,0.20950270928472373,0.8803218801546498,3.3432097453958374,-64.7813446521759,True,True,13.492504119873047,13.69688606262207,13.74638843536377,13.854476928710938,13.488716125488281,13.848106384277344,14.008617401123047,13.990185737609863,13.892966270446777,13.984701156616211,14.156583786010742,13.974870681762695,14.157768249511719,14.191652297973633,14.400540351867676,14.615642547607422,14.309487342834473,14.516973495483398,14.319158554077148,14.500711441040039,14.77056884765625,14.702750205993652,14.83139419555664,14.905008316040039,15.05083179473877,14.951967239379883,15.122061729431152,15.258177757263184,15.176237106323242,15.330398559570312,15.180707931518555,15.566793441772461,15.513586044311523,15.663864135742188,15.61606216430664,15.702735900878906,15.4419527053833,15.826601028442383,15.964035034179688,15.918957710266113,15.969781875610352,16.00994873046875,16.3758602142334,16.2604923248291,16.178295135498047,16.30864906311035,16.461790084838867,16.498355865478516,16.585506439208984,16.496627807617188,16.57141876220703,16.64705467224121,16.66013526916504,16.609750747680664,16.88883399963379,16.720901489257812,16.86090850830078,16.82108497619629,16.777484893798828,17.106042861938477,16.952062606811523,17.14720344543457,16.94553565979004,17.316486358642578,17.262344360351562,17.390661239624023,17.304664611816406,17.306915283203125,17.35651397705078,17.287324905395508,17.579137802124023,17.485578536987305,17.578693389892578,17.547218322753906,17.589914321899414,17.94600486755371,17.976104736328125,18.022558212280273,17.786962509155273,18.23882293701172,18.236766815185547,18.043071746826172,18.141447067260742,18.127843856811523,18.34156036376953,18.276485443115234,18.258567810058594,18.462541580200195,18.415613174438477,18.33587074279785,18.450416564941406,18.427223205566406,18.753572463989258
00065X0148/P,Conv,0.21647290776586772,0.9051089502583479,1.4558897442210803,6.08731527507855,-127.84693098068237,False,False,1.6258435249328613,1.6612443923950195,1.6214540004730225,1.6560430526733398,1.650794506072998,1.7180668115615845,1.6134898662567139,1.6383659839630127,1.5094350576400757,1.522264003753662,1.4002269506454468,1.3851417303085327,1.3629817962646484,1.388725996017456,1.3756132125854492,1.344785451889038,1.4301087856292725,1.4395686388015747,1.3364638090133667,1.2507473230361938,1.2003979682922363,1.349055528640747,1.3287725448608398,1.4638149738311768,1.3807779550552368,1.4504902362823486,1.4624320268630981,1.4725139141082764,1.5158146619796753,1.5600998401641846,1.463813066482544,1.4794219732284546,1.5971977710723877,1.6080540418624878,1.7130028009414673,1.719132661819458,1.6802546977996826,1.690201759338379,1.6884765625,1.6543853282928467,1.6312066316604614,1.687495231628418,1.5109113454818726,1.5275641679763794,1.4340541362762451,1.366958498954773,1.4566680192947388,1.4082003831863403,1.5842783451080322,1.58856201171875,1.671762228012085,1.5217740535736084,1.6554925441741943,1.6504287719726562,1.6919606924057007,1.7481120824813843,1.5900360345840454,1.5864018201828003,1.6431832313537598,1.6498754024505615,1.7446497678756714,1.7483699321746826,1.7570719718933105,1.768320083618164,1.7135206460952759,1.6704292297363281,1.6750379800796509,1.5626124143600464,1.6826590299606323,1.729437232017517,1.780569076538086,1.7296031713485718,1.762488842010498,1.803510308265686,1.858203649520874,1.972174882888794,2.055800437927246,2.2868123054504395,2.414273500442505,2.2223644256591797,2.1052350997924805,2.154123544692993,2.0317327976226807,2.0174145698547363,1.9788296222686768,1.9491827487945557,2.0259854793548584,1.97543203830719,2.082765579223633,2.1585030555725098,2.206472396850586,2.345795154571533,2.3621392250061035
00065X0148/P,Conv,0.2330878357756428,0.6525246831821903,1.5676335348877901,4.388558383128311,-132.9829456806183,False,True,1.6756846904754639,1.6494640111923218,1.6490769386291504,1.6342140436172485,1.608886957168579,1.5926120281219482,1.526100516319275,1.466660976409912,1.4636303186416626,1.4645432233810425,1.4328676462173462,1.4555851221084595,1.484790563583374,1.5022441148757935,1.4892452955245972,1.5534799098968506,1.5452944040298462,1.551931381225586,1.6141139268875122,1.5981929302215576,1.5405460596084595,1.5434699058532715,1.5140787363052368,1.4831644296646118,1.4125982522964478,1.3918813467025757,1.3569116592407227,1.3757562637329102,1.3868765830993652,1.4424854516983032,1.500356912612915,1.5407252311706543,1.5918980836868286,1.6377946138381958,1.6419881582260132,1.6383655071258545,1.6013249158859253,1.540764331817627,1.511963129043579,1.454176664352417,1.420203685760498,1.3690727949142456,1.362607717514038,1.3480976819992065,1.3641571998596191,1.3696212768554688,1.3933025598526,1.3705826997756958,1.3494045734405518,1.3913403749465942,1.4020946025848389,1.4268908500671387,1.4414424896240234,1.4943017959594727,1.5151169300079346,1.5245509147644043,1.4880170822143555,1.5113039016723633,1.528093695640564,1.5242871046066284,1.5519893169403076,1.5323625802993774,1.5646165609359741,1.5596885681152344,1.5915733575820923,1.6603541374206543,1.734853744506836,1.7594382762908936,1.810664176940918,1.821115255355835,1.7949752807617188,1.759721040725708,1.7827303409576416,1.775585651397705,1.8268855810165405,1.7844390869140625,1.8175091743469238,1.813453197479248,1.8504655361175537,1.781604290008545,1.768852710723877,1.7467752695083618,1.7463855743408203,1.729695200920105,1.7365561723709106,1.7646589279174805,1.8131613731384277,1.7830195426940918,1.8156200647354126,1.7700244188308716,1.7516708374023438,1.7466803789138794,1.7159457206726074
00065X0148/P,Conv,0.23390122052113174,0.7948866327894983,1.5731039585139375,5.346014466384556,-128.79851698875427,True,False,1.6821064949035645,1.7539432048797607,1.7135765552520752,1.736781120300293,1.7090567350387573,1.6866730451583862,1.6695306301116943,1.6638084650039673,1.5599762201309204,1.4054147005081177,1.3437328338623047,1.366413950920105,1.4673283100128174,1.3760703802108765,1.4766223430633545,1.4324448108673096,1.3584011793136597,1.3619041442871094,1.4503263235092163,1.4337570667266846,1.5079022645950317,1.5896590948104858,1.527835726737976,1.5427933931350708,1.5775232315063477,1.6931006908416748,1.6946629285812378,1.6129353046417236,1.582698106765747,1.6726170778274536,1.7729119062423706,1.8467235565185547,1.8495473861694336,1.844290018081665,1.8755466938018799,1.8220396041870117,1.9635260105133057,1.7867833375930786,1.7673594951629639,1.7763422727584839,1.7357487678527832,1.6970744132995605,1.6966543197631836,1.7468088865280151,1.7718281745910645,1.6803768873214722,1.5738770961761475,1.4830522537231445,1.5327039957046509,1.4824566841125488,1.5286370515823364,1.5213719606399536,1.6246546506881714,1.63321852684021,1.6462041139602661,1.6772956848144531,1.6201083660125732,1.5339829921722412,1.5369151830673218,1.4886499643325806,1.4573163986206055,1.4334840774536133,1.476943850517273,1.487576961517334,1.540210485458374,1.549513339996338,1.6225128173828125,1.6917136907577515,1.7128883600234985,1.7089438438415527,1.766412615776062,1.806793212890625,1.806145429611206,1.9046142101287842,1.949686050415039,1.9906103610992432,2.0794901847839355,2.0012707710266113,2.0077576637268066,1.9305882453918457,1.9361894130706787,1.891611933708191,1.911604642868042,1.9247708320617676,1.8605395555496216,1.8746979236602783,1.8857269287109375,1.9211695194244385,1.9358561038970947,1.9687118530273438,1.8966014385223389,1.9669599533081055,1.8744547367095947
00065X0148/P,Conv,0.24242874405005407,0.50901402865003,1.6304558653991625,3.423376678516079,-2031.7817752361298,True,True,1.5149139165878296,1.5325798988342285,1.5279078483581543,1.5650017261505127,1.4958962202072144,1.4636220932006836,1.3741906881332397,1.3618425130844116,1.3502486944198608,1.3402323722839355,1.295875072479248,1.3740442991256714,1.35808527469635,1.314590334892273,1.3185651302337646,1.3265957832336426,1.3403640985488892,1.329851746559143,1.3760526180267334,1.4556918144226074,1.4780486822128296,1.4910863637924194,1.4771379232406616,1.5156596899032593,1.5422536134719849,1.5390608310699463,1.5425502061843872,1.5529290437698364,1.5800765752792358,1.5423327684402466,1.5520256757736206,1.540225863456726,1.5679739713668823,1.5307538509368896,1.4938665628433228,1.5136408805847168,1.4871678352355957,1.4926888942718506,1.5084097385406494,1.558335542678833,1.5233850479125977,1.5354578495025635,1.4688438177108765,1.4160172939300537,1.392805576324463,1.3466458320617676,1.3033645153045654,1.333357572555542,1.3596761226654053,1.3956135511398315,1.4180936813354492,1.4816031455993652,1.5537326335906982,1.5176050662994385,1.5607357025146484,1.5300942659378052,1.5146362781524658,1.544862151145935,1.5372281074523926,1.499406099319458,1.467198371887207,1.4577840566635132,1.5128498077392578,1.4745807647705078,1.4624494314193726,1.4664974212646484,1.4421143531799316,1.4091600179672241,1.3709609508514404,1.408788800239563,1.3825945854187012,1.3963919878005981,1.439215064048767,1.5336401462554932,1.57470703125,1.592093825340271,1.6076548099517822,1.6500327587127686,1.655915379524231,1.645664095878601,1.6686354875564575,1.7267823219299316,1.7119983434677124,1.771241545677185,1.7282381057739258,1.6973047256469727,1.7144914865493774,1.6767001152038574,1.6700506210327148,1.7815191745758057,1.7907710075378418,1.7717591524124146,1.807199478149414
00068X0010/F295,Conv,0.07766948764138713,0.14146638534698183,0.49253885877257386,0.8971050808935037,-144.01933693885803,False,False,21.034862518310547,21.039926528930664,20.991601943969727,21.124088287353516,21.090137481689453,21.1440486907959,21.20380401611328,21.225753784179688,21.149816513061523,21.162139892578125,21.2952880859375,21.38573455810547,21.317659378051758,21.35158348083496,21.42656135559082,21.401004791259766,21.47679901123047,21.434267044067383,21.422527313232422,21.49895668029785,21.570648193359375,21.5874080657959,21.555675506591797,21.706600189208984,21.70049476623535,21.745437622070312,21.721851348876953,21.602352142333984,21.767616271972656,21.870365142822266,21.888521194458008,21.882888793945312,21.95640754699707,21.964200973510742,22.040990829467773,22.06278419494629,22.057939529418945,22.20501708984375,22.116836547851562,22.23516273498535,22.302661895751953,22.28019905090332,22.31089210510254,22.283180236816406,22.4610595703125,22.358722686767578,22.418909072875977,22.535844802856445,22.518476486206055,22.571979522705078,22.601160049438477,22.625917434692383,22.72136688232422,22.728984832763672,22.629409790039062,22.759727478027344,22.714075088500977,22.808013916015625,22.828155517578125,22.8127498626709,22.909725189208984,22.987329483032227,23.037006378173828,23.027576446533203,23.17281723022461,23.100706100463867,23.236440658569336,23.24616050720215,23.154176712036133,23.20254898071289,23.353717803955078,23.393972396850586,23.342863082885742,23.45359992980957,23.4547176361084,23.555917739868164,23.431264877319336,23.490753173828125,23.659509658813477,23.649843215942383,23.71578025817871,23.745031356811523,23.7294979095459,23.637983322143555,23.717477798461914,23.686372756958008,23.794797897338867,23.808414459228516,23.86760711669922,23.873125076293945,23.99012565612793,24.056137084960938,23.911779403686523
